commit_hash;modified;file_modified;CBO;WMC;DIT;NOC;RFC;LCOM;LOC
4ecae622d;318;4;3.98;11.51;1.38;0.07;6.77;22.81;4224
df1be3ebf;2;1;4.05;11.31;1.36;0.06;7.73;22.93;4563
5107dd340;12;1;3.98;11.29;1.37;0.06;7.1;22.15;4323
02044cd4e;123;1;4.03;11.01;1.34;0.06;7.86;22.67;4772
b6ea9eba5;81;10;4;11.05;1.35;0.06;7.75;22.68;4701
6309bbc26;552;4;4.16;10.6;1.32;0.05;8.29;21.57;5262
a5d55dc4e;1;1;4.04;10.79;1.34;0.06;7.91;22.07;4946
7d09e458b;16;2;4.04;10.79;1.34;0.06;7.9;22.07;4942
5ebbd9ab2;5;1;4.03;10.77;1.34;0.06;7.9;22.07;4928
4e19e15ff;84;1;4.33;10.34;1.31;0.05;8.72;21.03;5586
3371e35e5;68;1;4.29;10.41;1.31;0.05;8.67;21.22;5546
1ff742a40;457;3;4.25;10.48;1.32;0.05;8.63;21.4;5517
99359a790;192;9;4.23;9.98;1.41;0.05;8.84;21.86;6282
6cb1ab682;394;9;4.28;10.17;1.43;0.05;8.85;22.55;6157
6f12f6fae;99;1;4.87;9.75;1.31;0.04;10.22;18.42;10289
71b544f5d;20;7;4.59;7.63;1.44;0.04;7.23;12.59;7797
ef1cae879;20;4;4.59;7.68;1.48;0.04;7.22;12.52;7904
e9fad2483;648;37;4.59;7.63;1.48;0.04;7.23;12.59;7797
68f85bf4b;151;30;4.6;7.98;1.49;0.04;7.23;16.18;8269
868dc0fed;101;2;4.63;8.24;1.51;0.05;7.15;19.18;8660
7a5320f85;319;4;4.6;8.17;1.54;0.05;7.04;18.76;8801
fca5a8e15;27;2;4.62;8.34;1.56;0.05;6.99;19.75;8996
ed9a2c4b9;76;11;4.64;7.75;1.52;0.05;7.08;10.59;8944
0e0edb572;48;2;4.66;7.45;1.5;0.05;6.83;10.19;8996
f7d780956;4;2;4.61;7.41;1.54;0.05;6.75;10.05;9039
5273cf05e;101;3;4.61;7.41;1.54;0.05;6.75;10.05;9039
5ae547835;139;9;4.65;7.42;1.5;0.05;6.77;10.13;9018
7f07f4652;36;5;4.64;7.36;1.5;0.05;6.72;10.04;9016
ec4eb4f3b;933;52;6.55;11.92;1.5;0.18;9.7;777.81;14079
e8ff93464;4;1;6.46;11.92;1.49;0.18;9.62;820.39;14351
6a6a3022b;5;1;6.51;12.28;1.49;0.18;9.71;825.3;14666
ae8e4d4f0;7;2;6.47;11.95;1.5;0.18;9.62;823.5;14300
7e0f6d88f;237;21;6.55;12.13;1.49;0.18;9.8;757.55;14634
6dbeff4b5;626;33;6.55;12.13;1.49;0.18;9.8;757.55;14634
25e78c553;744;23;6.49;11.8;1.47;0.17;9.96;728.33;14775
a85657232;530;8;6.45;11.78;1.48;0.17;9.93;715.64;14926
b8a3320cb;532;15;6.31;11.38;1.49;0.16;9.59;668.72;15426
b15df9899;964;32;6.49;11.33;1.49;0.15;9.58;649.86;15858
1145819b6;324;14;6.53;11.36;1.49;0.16;9.83;622.73;17177
0b038babb;2;1;6.51;11.38;1.48;0.15;9.81;634.01;16868
db8b73317;308;3;6.55;11.39;1.49;0.16;9.84;623.95;17239
4f878d569;500;8;6.53;11.36;1.49;0.16;9.83;622.73;17171
9966209d7;191;4;6.55;11.38;1.48;0.16;9.83;620.3;17298
133037357;212;6;6.55;11.38;1.48;0.16;9.83;620.3;17297
1ebd97900;44;1;6.58;12.13;1.47;0.16;10.15;612.4;18696
8e9c935d5;627;17;6.4;10.39;1.72;0.13;9.2;516.96;19096
994d8fcb9;39;4;6.41;10.5;1.71;0.13;9.32;517.15;19275
5d7f54935;914;29;6.41;10.51;1.71;0.13;9.32;517.15;19275
603f6c690;309;4;6.47;10.6;1.71;0.14;9.48;520.43;19382
ffe49c3f0;441;15;6.46;10.53;1.71;0.14;9.41;510.55;19335
73dde07fa;267;2;6.51;10.63;1.71;0.14;9.49;517.37;19476
23a77e8ce;170;7;6.56;10.67;1.7;0.13;9.5;511.06;19875
df94c0d23;689;11;6.56;10.7;1.7;0.13;9.55;511.27;19912
88ff1f638;107;10;6.58;10.7;1.7;0.14;9.51;523.32;19920
4562e69de;45;5;6.57;10.72;1.7;0.14;9.51;523.32;19955
e71d371f2;1;1;6.53;10.62;1.69;0.14;9.38;519.81;19824
63a59319b;24;3;6.53;10.62;1.69;0.14;9.38;519.81;19824
a2cb6ab4b;875;23;6.53;10.62;1.69;0.14;9.38;519.81;19824
fe4acf2a6;64;5;6.54;10.56;1.71;0.14;9.07;522.59;18944
637978c66;68;2;6.56;10.55;1.71;0.14;9.07;522.59;18939
e255de7db;146;8;6.55;10.61;1.71;0.14;9.09;522.68;18930
9e18df665;2;1;6.53;10.59;1.72;0.14;8.86;522.86;18486
edd8aed81;56;10;6.53;10.59;1.72;0.14;8.86;522.86;18486
e28dc4ba7;988;31;6.53;10.56;1.71;0.14;8.94;518.07;18846
d2c9c34e3;67;4;6.52;10.6;1.72;0.14;8.83;527.73;18269
42ca8c4ff;79;4;6.54;10.64;1.72;0.14;8.85;530.23;18258
0d6c8e3a9;14;2;6.54;10.59;1.71;0.14;8.82;524.06;18372
a779687b4;6;1;6.54;10.59;1.71;0.14;8.82;524.06;18372
98d0b7f2e;240;5;6.54;10.59;1.71;0.14;8.82;524.06;18372
70d44071d;7;1;6.54;10.59;1.71;0.14;8.82;524.03;18372
f79625a9e;367;6;6.54;10.6;1.71;0.14;8.82;524.03;18376
ea03b91a2;28;1;6.52;10.53;1.71;0.14;8.78;521.71;18313
ff282b964;24;4;6.52;10.53;1.71;0.14;8.79;521.73;18317
106d00485;6;2;6.52;10.53;1.71;0.14;8.79;521.73;18317
6df4ea385;4;1;6.52;10.53;1.71;0.14;8.79;521.73;18317
2f8e8bc60;99;6;6.55;10.54;1.71;0.14;8.79;524.65;18337
715d71d38;233;4;6.54;10.48;1.72;0.14;8.75;522.05;18356
17b325e89;12;3;6.55;10.49;1.72;0.14;8.76;524.04;18372
baa00f7f8;56;5;6.56;10.49;1.72;0.14;8.77;521.83;18452
fedb543ce;9;1;6.61;10.45;1.72;0.14;8.74;518.27;18535
f29493822;11;2;6.61;10.45;1.72;0.14;8.74;518.27;18535
75e9bfa3b;2;1;6.61;10.45;1.72;0.14;8.74;518.27;18535
5b6d1f8c8;90;2;6.61;10.45;1.72;0.14;8.74;518.27;18535
71330c061;220;2;6.61;10.47;1.72;0.14;8.73;525.81;18522
479f89fc3;4;1;6.61;10.45;1.72;0.14;8.72;519.68;18498
19fac95ca;224;3;6.61;10.45;1.72;0.14;8.72;519.68;18498
f38eb995d;38;5;6.59;10.45;1.72;0.14;8.71;525.65;18530
f6965b1e6;878;437;6.6;10.45;1.72;0.14;8.71;525.88;18533
d1cd15328;148;2;6.6;10.45;1.72;0.14;8.71;525.88;18533
3768a53a8;152;2;6.6;10.45;1.72;0.14;8.71;525.88;18533
71cda3ebd;43;2;6.74;10.51;1.71;0.14;8.77;520.89;19023
87208280d;85;12;6.72;10.51;1.71;0.14;8.77;520.89;19023
14ea26be8;180;2;6.75;10.52;1.71;0.14;8.78;520.89;19026
6d0340767;2;1;6.75;10.52;1.71;0.14;8.75;520.89;19026
7bfeccced;61;3;6.74;10.49;1.72;0.14;8.71;519.03;19068
61af0c013;5;1;6.74;10.5;1.73;0.14;8.69;520.16;19040
870096572;501;110;6.74;10.5;1.73;0.14;8.69;520.16;19047
a00ea07a4;108;4;6.62;10.44;1.73;0.14;8.5;516.57;19119
421c5bbb2;881;7;6.63;10.36;1.73;0.14;8.48;512.04;19175
7494a2c05;24;1;6.63;10.36;1.73;0.14;8.49;512.21;19182
2a4b18e74;56;3;6.64;10.37;1.73;0.14;8.5;512.21;19194
a03bf90c1;25;1;6.64;10.37;1.73;0.14;8.5;512.21;19194
b5501c563;6;2;6.61;10.21;1.73;0.14;8.5;512.11;19018
2d03fa971;73;1;6.6;10.22;1.73;0.14;8.53;510.99;19062
da06e59e7;709;19;6.68;10.2;1.73;0.15;8.55;509.87;19305
29bceefab;383;12;6.66;10.22;1.74;0.15;8.57;508.77;19408
2d6a39c9b;262;11;6.66;10.22;1.74;0.15;8.56;508.22;19446
7748fd5e6;16;6;6.66;10.22;1.74;0.15;8.56;508.22;19446
851de4154;17;7;6.66;10.22;1.74;0.15;8.56;508.23;19449
fa58d3637;244;32;6.73;10.23;1.74;0.15;8.56;508.27;19460
5ec4f761b;252;34;6.66;10.23;1.74;0.15;8.56;508.27;19460
a0bfaa220;18;6;6.73;10.23;1.74;0.15;8.56;508.27;19460
ba5edc9bf;252;34;6.66;10.23;1.74;0.15;8.56;508.27;19460
434d1f420;2;2;6.73;10.23;1.74;0.15;8.56;508.27;19462
5ab208308;2;2;6.73;10.23;1.74;0.15;8.56;508.27;19462
6c58557f5;23;1;6.73;10.23;1.74;0.15;8.56;508.53;19466
db627720e;354;24;6.73;10.23;1.74;0.15;8.56;508.27;19462
b9d5a4db8;3;1;6.75;10.25;1.73;0.15;8.62;506.49;19535
8bf04e968;56;7;6.76;10.26;1.73;0.15;8.62;506.54;19540
b5c7957c4;22;1;6.76;10.26;1.73;0.15;8.62;506.54;19540
8a62afb5a;9;2;6.77;10.25;1.73;0.15;8.63;506.48;19558
a9ef16b32;82;4;6.77;10.25;1.73;0.15;8.63;506.48;19558
42a355a62;68;2;6.77;10.25;1.73;0.15;8.63;506.48;19558
b17bd1a62;75;3;6.77;10.25;1.73;0.15;8.63;506.48;19558
52ee8ed9e;2;1;6.77;10.25;1.73;0.15;8.63;506.48;19558
06a06e6ed;55;1;6.76;10.27;1.73;0.15;8.63;505.39;19643
4c1975371;4;1;6.76;10.27;1.73;0.15;8.63;505.39;19643
4d8f008cb;74;2;6.76;10.27;1.73;0.15;8.63;505.39;19643
4ed9c5116;71;2;6.76;10.27;1.73;0.15;8.63;505.39;19643
5d6ac534b;425;17;6.76;10.27;1.73;0.15;8.63;505.39;19643
3480eb930;416;17;6.76;10.27;1.73;0.15;8.63;505.39;19643
08be74178;62;2;6.75;10.29;1.73;0.15;8.67;504.31;19735
27c309f88;4;2;6.75;10.29;1.73;0.15;8.67;504.31;19735
340bed9cd;11;1;6.75;10.29;1.73;0.15;8.67;504.31;19737
f51cd52c6;6;1;6.75;10.29;1.73;0.15;8.67;504.31;19740
99a620a38;143;10;6.73;10.26;1.72;0.15;8.59;501.4;19772
ad8ca8e58;57;1;6.73;10.26;1.72;0.15;8.59;501.92;19778
15fea59b8;59;2;6.73;10.26;1.72;0.15;8.59;501.4;19772
ea4d43a79;115;18;6.73;10.26;1.72;0.15;8.59;502.4;19784
3e11dc060;115;18;6.73;10.26;1.72;0.15;8.59;502.4;19784
748fb50f6;88;4;6.73;10.26;1.72;0.15;8.59;502.4;19784
e1cb606ab;46;1;6.74;10.27;1.72;0.15;8.6;504.29;19792
5387e206a;7;1;6.73;10.28;1.73;0.16;8.58;506.39;19703
b0bc478fb;69;2;6.73;10.28;1.73;0.16;8.58;506.39;19703
aff44822d;41;1;6.74;10.27;1.73;0.16;8.55;504.17;19787
30905fc42;26;1;6.76;10.19;1.72;0.16;8.46;501.64;19820
9f2beac79;122;4;6.75;10.19;1.72;0.16;8.45;501.07;19848
7ba9a3e04;172;4;6.76;10.2;1.72;0.16;8.45;500.07;19902
a1c3ba9c8;4;2;6.76;10.2;1.72;0.16;8.45;500.07;19902
bc1c705e5;508;5;6.76;10.2;1.72;0.16;8.45;500.07;19902
d91ee5a63;579;5;6.76;10.2;1.72;0.16;8.45;500.07;19902
f00533c91;314;3;6.76;10.22;1.72;0.16;8.47;501.85;19948
2adb1fa6e;379;5;6.76;10.2;1.72;0.16;8.45;500.07;19902
7194f3eca;57;1;6.76;10.22;1.72;0.16;8.47;501.85;19948
421b9a4e1;48;2;6.76;10.22;1.72;0.16;8.47;501.85;19948
12c0e3011;2;1;6.76;10.15;1.73;0.16;8.47;502.33;20024
d6345dc92;24;5;6.76;10.09;1.74;0.15;8.43;504.82;20081
51dd03b47;2;1;6.79;10.24;1.74;0.16;8.43;546.14;20115
9f2c43575;686;17;6.77;10.22;1.74;0.16;8.42;545;20117
95dde6fbf;38;2;6.79;10.25;1.75;0.16;8.3;550.49;19874
4e50ea491;140;3;6.82;10.22;1.75;0.16;8.31;548.2;19915
7bdcb5948;159;14;6.79;10.25;1.75;0.16;8.3;550.49;19874
a5d99b726;27;3;6.82;10.26;1.75;0.16;8.35;547.39;20031
0fe6e5548;3;1;6.82;10.25;1.74;0.16;8.34;545.13;20117
2770e4dd0;18;1;6.82;10.25;1.74;0.16;8.34;545.13;20117
86902355b;513;6;6.82;10.26;1.74;0.16;8.34;545.4;20120
dc94f561a;53;3;6.82;10.27;1.74;0.16;8.36;546.24;20155
fbba23e3d;2;1;6.82;10.27;1.74;0.16;8.36;546.24;20155
0ffb50f76;22;4;6.86;10.28;1.75;0.16;8.36;551.06;20278
175f7de3e;18;1;6.87;10.27;1.74;0.16;8.38;549.95;20337
09695b4ae;2;1;6.87;10.27;1.74;0.16;8.38;549.95;20337
fc0ca6e15;250;4;6.88;10.3;1.75;0.16;8.39;551.95;20452
ba06bffaa;112;3;6.87;10.27;1.74;0.16;8.38;549.95;20340
2e39d9923;4;2;6.88;10.3;1.75;0.16;8.39;551.95;20452
27ce955df;4;1;6.88;10.3;1.75;0.16;8.39;551.95;20452
396f2f6d1;114;2;6.88;10.29;1.74;0.16;8.39;551.26;20474
a80b657e2;12;1;6.88;10.29;1.74;0.16;8.39;551.26;20474
27c63b6a4;119;1;6.88;10.29;1.74;0.16;8.39;551.26;20474
f4a18fdb9;11;2;6.88;10.29;1.74;0.16;8.39;551.26;20474
1ad606b71;104;1;6.81;10.39;1.74;0.17;8.4;558.8;20629
0e7b8eaa6;2;1;6.81;10.45;1.74;0.17;8.45;558.95;20716
7d6529137;3;1;6.81;10.45;1.74;0.17;8.45;558.95;20721
e0532b71f;43;5;6.8;10.45;1.74;0.17;8.47;556.69;20815
205fea699;249;5;6.8;10.45;1.74;0.17;8.47;556.69;20815
59454ea47;184;4;6.8;10.45;1.74;0.17;8.47;556.69;20815
b9c00a8e5;6;1;6.8;10.45;1.74;0.17;8.47;556.69;20815
a1758c4b9;82;4;6.8;10.45;1.74;0.17;8.48;556.69;20815
140663775;155;2;6.81;10.45;1.74;0.17;8.48;557.12;20821
bc9d59441;150;2;6.83;10.43;1.74;0.16;8.44;553.84;20975
55f3bb2a3;6;1;6.83;10.43;1.74;0.16;8.44;555.81;20981
7058126ad;42;2;6.83;10.43;1.74;0.16;8.44;555.81;20981
ac3b5b195;2;1;6.83;10.43;1.74;0.16;8.44;555.81;20981
3481ed1ee;503;5;6.83;10.43;1.74;0.16;8.44;555.81;20981
913e80046;515;5;6.83;10.43;1.74;0.16;8.44;555.81;20981
090f99e13;5;1;6.83;10.43;1.74;0.16;8.44;555.81;20981
e1b383840;16;3;6.83;10.42;1.74;0.16;8.45;554.71;20999
